node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,borough,lat,lon,flood_extreme_2080_depth_m
hospital_rockefeller_university_hospital,0.014,48.0,48,48,Rockefeller University Hospital,hospital,Manhattan,40.762905,-73.956374,0.0
telecom_cluster_03131,0.014,96.0,96,96,T-Mobile cluster,telecom,Manhattan,40.761237,-73.955995,0.0
telecom_cluster_03080,0.014,96.0,96,96,T-Mobile cluster,telecom,Manhattan,40.755422,-73.960611,0.0
telecom_cluster_03079,0.014,96.0,96,96,T-Mobile cluster,telecom,Manhattan,40.7541,-73.964469,0.0
telecom_cluster_00917,0.014,96.0,96,96,AT&T cluster,telecom,Manhattan,40.760911,-73.960133,0.0
telecom_cluster_03130,0.014,96.0,96,96,T-Mobile cluster,telecom,Manhattan,40.76053,-73.960135,0.0
telecom_cluster_03194,0.014,96.0,96,96,T-Mobile cluster,telecom,Manhattan,40.765117,-73.965365,0.0
telecom_cluster_03129,0.014,96.0,96,96,T-Mobile cluster,telecom,Manhattan,40.760395,-73.964605,0.0
hospital_flushing_hospital_medical_center,0.014,0.0,0,0,Flushing Hospital Medical Center,hospital,Queens,40.755531,-73.815475,0.2
hospital_david_h__koch_center_for_cancer_care,0.014,48.0,48,48,David H. Koch Center For Cancer Care,hospital,Manhattan,40.767034,-73.951039,0.0
hospital_hospital_for_special_surgery,0.014,48.0,48,48,Hospital For Special Surgery,hospital,Manhattan,40.76505,-73.95256,0.0
telecom_cluster_03021,0.014,6.0,6,6,T-Mobile cluster,telecom,Manhattan,40.7479,-73.9477,0.0
hospital_new_york_presbyterian_hospital___new_yor,0.014,48.0,48,48,New York-Presbyterian Hospital - New York Weill Cornell Center,hospital,Manhattan,40.764721,-73.953919,0.0
water_future_cornell_tech_campus,0.014,6.0,6,6,Future Cornell Tech Campus,water,Manhattan,40.753937,-73.957106,0.0
subway_roosevelt_island_m,0.014,6.0,6,6,Roosevelt Island,subway,Manhattan,40.759145,-73.95326,0.0
hospital_lenox_hill_hospital,0.014,48.0,48,48,Lenox Hill Hospital,hospital,Manhattan,40.773957,-73.961109,0.0
telecom_cluster_03082,0.014,6.0,6,6,T-Mobile cluster,telecom,Manhattan,40.755267,-73.951267,0.0
fuel_station_citgo_0833,0.014,6.0,6,6,Citgo (Citgo),fuel,Manhattan,40.744538,-73.950663,0.0
fuel_station_sunoco_0541,0.014,6.0,6,6,Sunoco (Sunoco),fuel,Manhattan,40.752033,-73.944713,0.0
telecom_cluster_03081,0.014,6.0,6,6,T-Mobile cluster,telecom,Manhattan,40.75615,-73.9549,0.0
telecom_cluster_03083,0.014,6.0,6,6,T-Mobile cluster,telecom,Manhattan,40.754133,-73.945283,0.0
hospital_memorial_hospital_for_cancer_and_allied,0.014,48.0,48,48,Memorial Hospital For Cancer And Allied Diseases,hospital,Manhattan,40.764395,-73.956852,0.0
hospital_new_york_presbyterian_david_h__koch_cent,0.014,48.0,48,48,New York-Presbyterian David H. Koch Center,hospital,Manhattan,40.76485,-73.955863,0.0
power_vernon,0.014,0.0,0,0,Vernon,power,Manhattan,40.758136,-73.94693,0.2
water_well_station_#33,0.013,6.0,6,6,Well Station #33,water,Queens,40.696269,-73.792539,0.0
telecom_cluster_02552,0.013,6.0,6,6,T-Mobile cluster,telecom,Queens,40.704533,-73.790067,0.0
telecom_cluster_02553,0.013,6.0,6,6,T-Mobile cluster,telecom,Queens,40.7059,-73.784533,0.0
telecom_cluster_02551,0.013,6.0,6,6,T-Mobile cluster,telecom,Queens,40.7035,-73.794733,0.0
fuel_station_sunoco_0272,0.013,6.0,6,6,Sunoco (Sunoco),fuel,Queens,40.709314,-73.795826,0.0
fuel_station_bp_0164,0.013,6.0,6,6,BP (BP),fuel,Queens,40.70055,-73.788926,0.0
power_brinkerhoff,0.013,0.0,0,0,Brinkerhoff,power,Queens,40.694661,-73.788007,0.2
fuel_station_conoco_0871,0.013,6.0,6,6,Conoco,fuel,Queens,40.697592,-73.785412,0.0
subway_broadway_nw,0.01,6.0,6,6,Broadway,subway,Queens,40.76182,-73.925508,0.0
