node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,lat,lon,borough,flood_sandy_depth_m
telecom_cluster_0145,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7208,-74.012,Manhattan,1.962
telecom_cluster_0021,1.0,0.0,0,0,AT&T cluster,telecom,40.709443,-73.985314,Manhattan,1.962
telecom_cluster_0007,1.0,0.0,0,0,AT&T cluster,telecom,40.70495,-74.0136,Manhattan,1.962
telecom_cluster_0042,1.0,0.1,0,0,AT&T cluster,telecom,40.719067,-73.976067,Manhattan,1.175
telecom_cluster_0190,1.0,0.3,0,0,T-Mobile cluster,telecom,40.740017,-73.985583,Manhattan,1.962
telecom_cluster_0164,0.999,6.2,6,6,T-Mobile cluster,telecom,40.7309,-74.015233,Manhattan,0.0
telecom_cluster_0143,0.999,6.2,6,6,T-Mobile cluster,telecom,40.7181,-74.0197,Manhattan,0.0
telecom_cluster_0124,0.999,6.2,6,6,T-Mobile cluster,telecom,40.711178,-74.005356,Manhattan,0.0
fuel_terminal_tremley_point_terminal_linden_nj,0.999,6.2,6,6,"Tremley Point Terminal (Linden, NJ)",fuel,40.628,-74.22,Manhattan,0.0
telecom_cluster_0016,0.999,6.2,6,6,AT&T cluster,telecom,40.709467,-74.01024,Manhattan,0.0
telecom_cluster_0123,0.999,6.2,6,6,T-Mobile cluster,telecom,40.710398,-74.010805,Manhattan,0.0
fuel_terminal_staten_island_terminal_howland_hoo,0.999,6.2,6,6,Staten Island Terminal (Howland Hook),fuel,40.642,-74.17,Manhattan,0.0
telecom_cluster_0017,0.999,6.2,6,6,AT&T cluster,telecom,40.7117,-74.0031,Manhattan,0.0
fuel_terminal_perth_amboy_terminal,0.999,6.2,6,6,Perth Amboy Terminal,fuel,40.508,-74.264,Manhattan,0.0
telecom_cluster_0051,0.999,0.1,0,0,AT&T cluster,telecom,40.7243,-73.973233,Manhattan,1.175
fuel_terminal_bayonne_terminal_complex,0.999,6.2,6,6,Bayonne Terminal Complex,fuel,40.662,-74.096,Manhattan,0.0
telecom_cluster_0132,0.999,6.2,6,6,T-Mobile cluster,telecom,40.7171,-74.02,Manhattan,0.0
telecom_cluster_0181,0.998,3.5,0,6,T-Mobile cluster,telecom,40.734887,-73.974447,Manhattan,0.331
telecom_cluster_0180,0.998,3.1,0,6,T-Mobile cluster,telecom,40.735519,-73.979706,Manhattan,0.331
telecom_cluster_0068,0.998,3.1,0,6,AT&T cluster,telecom,40.7366,-73.9792,Manhattan,0.331
telecom_cluster_0173,0.997,0.3,0,0,T-Mobile cluster,telecom,40.72848,-73.9719,Manhattan,0.852
power_east_13th_street,0.997,0.6,0,6,East 13Th Street,power,40.727544,-73.974622,Manhattan,1.175
fuel_station_bp_011,0.997,4.5,6,6,BP (BP),fuel,40.73515,-73.974516,Manhattan,0.331
telecom_cluster_0142,0.996,7.5,6,24,T-Mobile cluster,telecom,40.7164,-73.9704,Manhattan,0.0
telecom_cluster_0043,0.996,7.5,6,24,AT&T cluster,telecom,40.7184,-73.9711,Manhattan,0.0
telecom_cluster_0061,0.996,7.5,6,24,AT&T cluster,telecom,40.7298,-73.97045,Manhattan,0.0
telecom_cluster_0153,0.996,7.5,6,24,T-Mobile cluster,telecom,40.719333,-73.970967,Manhattan,0.0
telecom_cluster_0034,0.996,7.5,6,24,AT&T cluster,telecom,40.71485,-73.9711,Manhattan,0.0
telecom_cluster_0066,0.995,2.1,0,0,AT&T cluster,telecom,40.735422,-73.990256,Manhattan,0.81
telecom_cluster_0064,0.995,1.6,0,0,AT&T cluster,telecom,40.73515,-73.99975,Manhattan,0.81
telecom_cluster_0188,0.994,2.1,0,0,T-Mobile cluster,telecom,40.739493,-73.994307,Manhattan,0.81
telecom_cluster_0176,0.993,2.1,0,0,T-Mobile cluster,telecom,40.735496,-74.000308,Manhattan,0.81
