arm=dynamic_timing  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep02 step 8100/13600: loss = 0.15046
  Ep02 step 8200/13600: loss = 0.14443
  Ep02 step 8300/13600: loss = 0.14607
  Ep02 step 8400/13600: loss = 0.12979
  Ep02 step 8500/13600: loss = 0.14702
  Ep02 step 8600/13600: loss = 0.13919
  Ep02 step 8700/13600: loss = 0.14410
  Ep02 step 8800/13600: loss = 0.14226
  Ep02 step 8900/13600: loss = 0.14140
  Ep02 step 9000/13600: loss = 0.14795
  Ep02 step 9100/13600: loss = 0.12312
  Ep02 step 9200/13600: loss = 0.15332
  Ep02 step 9300/13600: loss = 0.14996
  Ep02 step 9400/13600: loss = 0.14512
  Ep02 step 9500/13600: loss = 0.14828
  Ep02 step 9600/13600: loss = 0.13540
  Ep02 step 9700/13600: loss = 0.14655
  Ep02 step 9800/13600: loss = 0.13997
  Ep02 step 9900/13600: loss = 0.15371
  Ep02 step 10000/13600: loss = 0.14716
  Ep02 step 10100/13600: loss = 0.13709
  Ep02 step 10200/13600: loss = 0.15322
  Ep02 step 10300/13600: loss = 0.13464
  Ep02 step 10400/13600: loss = 0.14002
  Ep02 step 10500/13600: loss = 0.14207
  Ep02 step 10600/13600: loss = 0.15584
  Ep02 step 10700/13600: loss = 0.14362
  Ep02 step 10800/13600: loss = 0.14230
  Ep02 step 10900/13600: loss = 0.13632
  Ep02 step 11000/13600: loss = 0.14480
  Ep02 step 11100/13600: loss = 0.14531
  Ep02 step 11200/13600: loss = 0.14396
  Ep02 step 11300/13600: loss = 0.14555
  Ep02 step 11400/13600: loss = 0.15047
  Ep02 step 11500/13600: loss = 0.14921
  Ep02 step 11600/13600: loss = 0.14840
